family,type,standard,diameter,length_mm,name_stem,measured_max_len_mm,path_step,path_stl,path_fcstd
Bolts,Flat_Head,ISO10642,M10,70,FlatHead_M10x70_ISO10642,70.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M10x70_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M10x70_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M10x70_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M10,80,FlatHead_M10x80_ISO10642,80.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M10x80_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M10x80_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M10x80_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M10,100,FlatHead_M10x100_ISO10642,100.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M10x100_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M10x100_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M10x100_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M12,25,FlatHead_M12x25_ISO10642,25.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M12x25_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M12x25_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M12x25_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M12,30,FlatHead_M12x30_ISO10642,30.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M12x30_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M12x30_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M12x30_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M12,35,FlatHead_M12x35_ISO10642,35.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M12x35_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M12x35_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M12x35_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M12,40,FlatHead_M12x40_ISO10642,40.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M12x40_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M12x40_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M12x40_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M12,50,FlatHead_M12x50_ISO10642,50.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M12x50_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M12x50_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M12x50_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M12,60,FlatHead_M12x60_ISO10642,60.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M12x60_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M12x60_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M12x60_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M12,70,FlatHead_M12x70_ISO10642,70.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M12x70_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M12x70_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M12x70_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M12,80,FlatHead_M12x80_ISO10642,80.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M12x80_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M12x80_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M12x80_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M12,100,FlatHead_M12x100_ISO10642,100.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M12x100_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M12x100_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M12x100_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M16,30,FlatHead_M16x30_ISO10642,31.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M16x30_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M16x30_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M16x30_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M16,35,FlatHead_M16x35_ISO10642,35.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M16x35_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M16x35_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M16x35_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M16,40,FlatHead_M16x40_ISO10642,40.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M16x40_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M16x40_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M16x40_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M16,50,FlatHead_M16x50_ISO10642,50.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M16x50_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M16x50_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M16x50_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M16,60,FlatHead_M16x60_ISO10642,60.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M16x60_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M16x60_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M16x60_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M16,70,FlatHead_M16x70_ISO10642,70.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M16x70_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M16x70_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M16x70_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M16,80,FlatHead_M16x80_ISO10642,80.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M16x80_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M16x80_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M16x80_ISO10642.FCStd
Bolts,Flat_Head,ISO10642,M16,100,FlatHead_M16x100_ISO10642,100.0,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STEP\FlatHead_M16x100_ISO10642.step,C:\FastenersLib\Bolts\Flat_Head\ISO10642\STL\FlatHead_M16x100_ISO10642.stl,C:\FastenersLib\Bolts\Flat_Head\ISO10642\FCStd\FlatHead_M16x100_ISO10642.FCStd
