family,type,standard,diameter,length_mm,name_stem,measured_max_len_mm,path_step,path_stl,path_fcstd
Bolts,Hex_Head,ISO4017,M10,100,HexHead_M10x100_ISO4017,106.4,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M10x100_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M10x100_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M10x100_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M12,25,HexHead_M12x25_ISO4017,32.5,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M12x25_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M12x25_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M12x25_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M12,30,HexHead_M12x30_ISO4017,37.5,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M12x30_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M12x30_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M12x30_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M12,35,HexHead_M12x35_ISO4017,42.5,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M12x35_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M12x35_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M12x35_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M12,40,HexHead_M12x40_ISO4017,47.5,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M12x40_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M12x40_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M12x40_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M12,50,HexHead_M12x50_ISO4017,57.5,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M12x50_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M12x50_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M12x50_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M12,60,HexHead_M12x60_ISO4017,67.5,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M12x60_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M12x60_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M12x60_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M12,70,HexHead_M12x70_ISO4017,77.5,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M12x70_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M12x70_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M12x70_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M12,80,HexHead_M12x80_ISO4017,87.5,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M12x80_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M12x80_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M12x80_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M12,100,HexHead_M12x100_ISO4017,107.5,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M12x100_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M12x100_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M12x100_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M16,30,HexHead_M16x30_ISO4017,40.0,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M16x30_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M16x30_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M16x30_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M16,35,HexHead_M16x35_ISO4017,45.0,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M16x35_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M16x35_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M16x35_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M16,40,HexHead_M16x40_ISO4017,50.0,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M16x40_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M16x40_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M16x40_ISO4017.FCStd
